metrics	av_accuracy	av_time	accuracy	time
['3' 'mutual_info' 'majority_class' 'chebyshev']	0.9581529770051608	1.222989296913147	"[0.95744681 0.97354497 0.94179894 0.96825397 0.93650794 0.95789474
 0.96296296 0.97354497 0.96808511 0.94148936]"	"[1.22532248 1.22423029 1.21610761 1.22153115 1.21016121 1.22903013
 1.21542072 1.22057819 1.218153   1.24935818]"
['3' 'mutual_info' 'inverse_distance' 'minkowski']	0.506884172606457	0.16183063983917237	"[0.5106383  0.44973545 0.47619048 0.53439153 0.50793651 0.54210526
 0.51322751 0.49206349 0.5212766  0.5212766 ]"	"[0.16120958 0.16278458 0.16170073 0.16266823 0.16146374 0.16180253
 0.16085863 0.16114616 0.16320992 0.16146231]"
['3' 'mutual_info' 'inverse_distance' 'euclidean']	0.49256166420780084	0.1616126775741577	"[0.45212766 0.48677249 0.5026455  0.52910053 0.43915344 0.50526316
 0.51322751 0.5026455  0.5106383  0.48404255]"	"[0.16010547 0.162956   0.16210246 0.16197205 0.1619029  0.16172481
 0.16125989 0.16120601 0.16174531 0.16115189]"
['3' 'mutual_info' 'inverse_distance' 'chebyshev']	0.5074356399272413	1.2542222261428833	"[0.53723404 0.5026455  0.47089947 0.54497354 0.48148148 0.51578947
 0.51851852 0.47089947 0.49468085 0.53723404]"	"[1.30858779 1.22391081 1.31976676 1.24112844 1.22789621 1.23457813
 1.31532574 1.22866344 1.22946882 1.21289611]"
['3' 'mutual_info' 'sheppard_work' 'minkowski']	0.49307968502817323	0.16438760757446289	"[0.50531915 0.48148148 0.48148148 0.51851852 0.50793651 0.53684211
 0.48148148 0.46560847 0.49468085 0.45744681]"	"[0.16383576 0.16486549 0.1646235  0.16308808 0.16478062 0.16530323
 0.16781282 0.16409636 0.1622963  0.16317391]"
['3' 'mutual_info' 'sheppard_work' 'euclidean']	0.49202714232389483	0.17393012046813966	"[0.5106383  0.47089947 0.48148148 0.47089947 0.50793651 0.54210526
 0.49206349 0.48148148 0.5106383  0.45212766]"	"[0.16584945 0.16286469 0.16470218 0.16298795 0.16342211 0.16312242
 0.19849133 0.214149   0.16169691 0.18201518]"
['3' 'mutual_info' 'sheppard_work' 'chebyshev']	0.4952240826652921	1.2234801530838013	"[0.55319149 0.47089947 0.48148148 0.50793651 0.51322751 0.51052632
 0.48148148 0.5026455  0.45744681 0.47340426]"	"[1.22820997 1.2067802  1.21933508 1.21864462 1.22721362 1.23924184
 1.22784638 1.23126221 1.22012782 1.21613979]"
['3' 'relief' 'majority_class' 'minkowski']	0.9586961493568437	0.17066166400909424	"[0.97340426 0.95767196 0.93650794 0.95767196 0.94179894 0.95789474
 0.97354497 0.96825397 0.96276596 0.95744681]"	"[0.16164064 0.22847557 0.18420672 0.16187048 0.15914822 0.16275573
 0.16221666 0.16336489 0.16126823 0.16166949]"
['3' 'relief' 'majority_class' 'euclidean']	0.9597543504150448	0.16525561809539796	"[0.97340426 0.95767196 0.94708995 0.95767196 0.94179894 0.95789474
 0.97354497 0.96825397 0.96276596 0.95744681]"	"[0.20441604 0.16146183 0.16017485 0.16094851 0.16265392 0.16234303
 0.15989304 0.16101837 0.15925002 0.16039658]"
['3' 'relief' 'majority_class' 'chebyshev']	0.9581557913696772	1.2435121059417724	"[0.95212766 0.95767196 0.94179894 0.95238095 0.96296296 0.95789474
 0.96825397 0.96825397 0.96276596 0.95744681]"	"[1.23937726 1.23177242 1.27450132 1.22690487 1.22636104 1.32587934
 1.22811437 1.23469019 1.22969079 1.21782947]"
