metrics	av_accuracy	av_time	accuracy	time
['3' 'mutual_info' 'sheppard_work' 'chebyshev']	0.6455294496596037	10.415481305122375	"[0.712      0.60582011 0.64986737 0.63129973 0.66666667 0.69312169
 0.63756614 0.63756614 0.75862069 0.46276596]"	"[ 9.9457581   9.69147825 10.88051152 10.49607849 11.18611717 10.12028122
 10.13166761 10.56008792 10.60200238 10.54083037]"
['3' 'relief' 'majority_class' 'minkowski']	0.9358557237007716	0.859692120552063	"[0.944      0.93650794 0.94429708 0.92307692 0.93915344 0.92857143
 0.92592593 0.92857143 0.94164456 0.94680851]"	"[0.8980515  0.78125644 0.77639246 0.77010655 0.79232287 0.76469827
 0.77972555 1.41809845 0.84358954 0.77267957]"
['3' 'relief' 'majority_class' 'euclidean']	0.9337372164098504	0.8720906972885132	"[0.944      0.93121693 0.94429708 0.91777188 0.93386243 0.92592593
 0.92857143 0.92592593 0.93899204 0.94680851]"	"[0.93805623 1.18096447 0.77476501 0.76758552 0.78788161 0.78492451
 1.00999856 0.83865666 0.81273389 0.82534051]"
['3' 'relief' 'majority_class' 'chebyshev']	0.9268399143477648	10.740480399131775	"[0.936      0.93121693 0.93103448 0.91777188 0.93386243 0.92328042
 0.91798942 0.91534392 0.92572944 0.93617021]"	"[10.31536508 11.28616118 10.09254622 10.61840415 11.89223528 10.72897863
 10.4644258  11.12732387 10.32726383 10.55209994]"
['3' 'relief' 'inverse_distance' 'minkowski']	0.44905446095438767	0.8504238128662109	"[0.47466667 0.44179894 0.36604775 0.46153846 0.47883598 0.45238095
 0.52116402 0.47089947 0.47214854 0.35106383]"	"[1.036834   0.7787106  0.8292892  0.81953192 0.78249025 0.7942338
 0.84833455 0.98565364 0.77842283 0.85073733]"
['3' 'relief' 'inverse_distance' 'euclidean']	0.4312272929754955	0.8393295288085938	"[0.344      0.44973545 0.43766578 0.40583554 0.53703704 0.42592593
 0.44444444 0.45502646 0.46153846 0.35106383]"	"[0.77249074 0.77133632 0.76959229 0.76586151 0.76676559 0.77312446
 1.05694747 0.80602741 0.84425783 1.06689167]"
['3' 'relief' 'inverse_distance' 'chebyshev']	0.4172195738828167	10.319900274276733	"[0.36       0.43386243 0.3872679  0.4270557  0.45238095 0.38359788
 0.42857143 0.48677249 0.42970822 0.38297872]"	"[10.86889267 10.39547229 10.46265602 10.45401835 10.37054133 10.78828716
 10.62652469 10.0611763   9.54322624  9.62820768]"
['3' 'relief' 'sheppard_work' 'minkowski']	0.44905446095438767	0.779046106338501	"[0.47466667 0.44179894 0.36604775 0.46153846 0.47883598 0.45238095
 0.52116402 0.47089947 0.47214854 0.35106383]"	"[0.75858974 0.7613759  0.76422834 0.78876925 0.76595068 0.7637279
 0.76381516 0.76685619 0.77906752 0.87808037]"
['3' 'relief' 'sheppard_work' 'euclidean']	0.4312272929754955	0.7676888942718506	"[0.344      0.44973545 0.43766578 0.40583554 0.53703704 0.42592593
 0.44444444 0.45502646 0.46153846 0.35106383]"	"[0.75737143 0.7780478  0.77410078 0.76500201 0.76991129 0.7739687
 0.76517463 0.76602507 0.76576257 0.76152468]"
['3' 'relief' 'sheppard_work' 'chebyshev']	0.41960333689570667	10.274744820594787	"[0.36       0.43915344 0.39257294 0.4270557  0.45502646 0.38359788
 0.43121693 0.49206349 0.42970822 0.3856383 ]"	"[ 9.72547984  9.53162861 10.2401917  10.01152134 10.704916   11.45048714
 10.58652449 10.18594456  9.91786981 10.39288473]"
